photo,,mse,psnr,ssim
face,pso,14974.6948311111,6.4426256063,-0.0002944335
,ga,15004.7196977778,6.4339265449,0.0003133079
,psoga,14941.9144088889,6.4521429697,0.0005817158
,psowcn,15004.6195466667,6.4339555326,0.0003691618
,psowcnga,15035.2645822222,6.4250946633,-0.000795084
,GWO,15014.3592675259,6.3656671562,0.004978521
,MVO,15019.34789521,6.025384,0.003521572
,CS,15001.8785477,6.441848,0.000321842
ctbrain,pso,17610.4447911111,5.7385021612,0.0124170961
,ga,22407.7846311111,5.6922161962,0.0025072752
,psoga,22876.3904666667,5.6023304059,-0.0185635557
,psowcn,25665.3553866667,5.1027325901,-0.0291983358
,psowcnga,13232.2848088889,5.9798570133,0.0209276457
,GWO,20015.872485842,5.7048487854,0.0208255854
,MVO,19452.48729421,5.7154785986,0.0208755757
,CS,19921.84451751,5.7108541846,0.0208544843
mrbrain,pso,11975.8890133333,7.4131277878,0.0002223574
,ga,12019.8286311111,7.3972226541,-0.000459046
,psoga,12054.7736755556,7.3846148025,-8.07327838138304E-05
,psowcn,11992.2794444444,7.407188014,-0.0004114476
,psowcnga,12053.8403555556,7.3849510605,0.0003433207
,GWO,12060.9995876528,7.3505855855,0.0003228884
,MVO,12058.3498956686,7.3699495448,0.0003548557
,CS,12062.7829262972,7.3429845642,0.0003158418
xrayknee,pso,12557.42544,7.207199331,0.0006838331
,ga,12546.5105111111,7.2109758652,-0.0003737155
,psoga,11687.8986133333,7.5188410565,0.0005738107
,psowcn,10105.0330311111,7.1508280384,0.0005033149
,psowcnga,12292.71624,7.2997268464,-0.0003593188
,GWO,12700.98427545,7.1509459749,0.0003959896
,MVO,12619.54881888,7.2054845618,0.0003562666
,CS,10110.08754878,7.1308548445,0.0004828454
